"Gene","Coefficient"
"MAGEL2","Age"
"AL132709.5","Ancestry.1"
"RP11-909M7.3","DxSCZ"
"NAP1L5","GenderMale"
"MEG3","GenderMale"
"PEG3","GenderMale"
"NDN","GenderMale"
"PEG10","DxSCZ"
"KCNQ1OT1","GenderMale"
"ZDBF2","Age, Ancestry.1"
"KCNK9","Age"
"INPP5F","Age"
"MEST","DxSCZ"
"PWRN1","Ancestry.1"
"UBE3A","DxSCZ"
