"Model","Gene","Coefficient","Estimate","p.val.t.dist","p.val.perm"
"wnlm.Q","SNURF","InstitutionPitt",0.482541745524843,0.00280148069029055,NA
"wnlm.Q","PEG10","InstitutionPitt",-0.0266664445513177,0.75435974679841,NA
"wnlm.Q","SNRPN","InstitutionPitt",0.494799534213881,0.00063772474227721,NA
"wnlm.Q","KCNQ1OT1","InstitutionPitt",0.253286480697586,0.147483791603783,NA
"wnlm.Q","ZDBF2","InstitutionPitt",0.433171449663506,0.00101960720252182,NA
"wnlm.Q","GRB10","InstitutionPitt",0.311151054113215,0.000691927823376792,NA
"wnlm.Q","SNORD116-20","InstitutionPitt",0.0724848798317872,0.809547757408957,NA
"wnlm.Q","KCNK9","InstitutionPitt",0.280668910926643,0.0275174495520623,NA
"wnlm.Q","INPP5F","InstitutionPitt",0.0279410527372335,0.626652457607832,NA
"wnlm.Q","RP13-487P22.1","InstitutionPitt",-0.0489138804223778,0.909679226285017,NA
"wnlm.Q","MEST","InstitutionPitt",-0.0350556100639027,0.729001929357077,NA
"wnlm.Q","ZNF331","InstitutionPitt",0.133417185964265,0.15891666746604,NA
"wnlm.Q","hsa-mir-335","InstitutionPitt",-0.186966195344259,0.488148999313055,NA
"wnlm.Q","DIRAS3","InstitutionPitt",-0.40886954104508,0.290324145063115,NA
"wnlm.Q","PWRN1","InstitutionPitt",-0.436422292597859,0.0563878542867415,NA
"wnlm.Q","IGF2","InstitutionPitt",0.322741577392337,0.0205672619173698,NA
"wnlm.Q","NLRP2","InstitutionPitt",-0.0976849034380159,0.493583543350791,NA
"wnlm.Q","UBE3A","InstitutionPitt",0.445476087172554,0.0836855195126725,NA
"wnlm.Q","MAGEL2","GenderMale",0.0343829858741783,0.691479417675567,0.7246
"wnlm.Q","TMEM261P1","GenderMale",-0.148439409788169,0.0774007066560266,0.1456
"wnlm.Q","SNHG14","GenderMale",-0.136630435821862,0.136241116033083,0.316
"wnlm.Q","AL132709.5","GenderMale",0.0509255779818228,0.465585100638491,0.5002
"wnlm.Q","RP11-909M7.3","GenderMale",0.0971750999065246,0.214582996113641,0.3256
"wnlm.Q","ZIM2","GenderMale",0.114858801909848,0.383264381756478,0.3818
"wnlm.Q","NAP1L5","GenderMale",-0.246659817905307,0.022326968623412,0.049
"wnlm.Q","MEG3","GenderMale",-0.449468725220517,8.82072464776601e-06,0.0016
"wnlm.Q","PEG3","GenderMale",0.240079974366196,0.00506420587905095,0.0154
"wnlm.Q","PWAR6","GenderMale",-0.0478973636795257,0.627474890908937,0.6568
"wnlm.Q","FAM50B","GenderMale",0.0930694119085761,0.351951190620192,0.3866
"wnlm.Q","NDN","GenderMale",-0.375582333336314,0.0175746505830091,0.0158
"wnlm.Q","SNURF","GenderMale",-0.0678330749072794,0.539889186459806,0.589
"wnlm.Q","PEG10","GenderMale",-0.05469111889444,0.35345868105612,0.3676
"wnlm.Q","SNRPN","GenderMale",-0.074676703373378,0.449936941589946,0.5496
"wnlm.Q","KCNQ1OT1","GenderMale",-0.303747627107025,0.000388598821594067,0.0174
"wnlm.Q","ZDBF2","GenderMale",0.0760452997069434,0.397219198916929,0.4598
"wnlm.Q","GRB10","GenderMale",-0.0919052380706815,0.113245702770159,0.1776
"wnlm.Q","SNORD116-20","GenderMale",0.0890239711073118,0.648822229697284,0.7192
"wnlm.Q","KCNK9","GenderMale",0.000761624002478887,0.992607555852066,0.9956
"wnlm.Q","INPP5F","GenderMale",0.00259418577616469,0.950435602153134,0.9414
"wnlm.Q","RP13-487P22.1","GenderMale",0.0440668480298659,0.902634064600617,0.934
"wnlm.Q","MEST","GenderMale",-0.103963654812593,0.118471982783702,0.2526
"wnlm.Q","ZNF331","GenderMale",-0.073516078390316,0.239886737819339,0.3524
"wnlm.Q","hsa-mir-335","GenderMale",-0.163783610405946,0.314874911483792,0.623
"wnlm.Q","DIRAS3","GenderMale",0.086662100142427,0.754294877684442,0.8046
"wnlm.Q","PWRN1","GenderMale",-0.030884577816948,0.810151756454811,0.8242
"wnlm.Q","IGF2","GenderMale",-0.111897799231912,0.204165912389166,0.2376
"wnlm.Q","NLRP2","GenderMale",0.00657024830102827,0.949722875392977,0.9656
"wnlm.Q","UBE3A","GenderMale",0.282768303556209,0.123466118831742,0.381
"wnlm.Q","MAGEL2","PMI",-0.00670435354680037,0.107393705746047,NA
"wnlm.Q","TMEM261P1","PMI",-0.00788529108369058,0.105185445088314,NA
"wnlm.Q","SNHG14","PMI",0.00139213461077489,0.740100723789394,NA
"wnlm.Q","AL132709.5","PMI",0.00304803330620759,0.343794260446188,NA
"wnlm.Q","RP11-909M7.3","PMI",0.00399335082423714,0.32429676668875,NA
"wnlm.Q","ZIM2","PMI",-0.000712221399062978,0.908740858242942,NA
"wnlm.Q","NAP1L5","PMI",-0.00498259539706692,0.342909485642976,NA
"wnlm.Q","MEG3","PMI",0.00246397237498873,0.556476919070321,NA
"wnlm.Q","PEG3","PMI",-0.00529672381242493,0.191638465327462,NA
"wnlm.Q","PWAR6","PMI",-0.00722483654025378,0.138581864758624,NA
"wnlm.Q","FAM50B","PMI",-0.00313146749004325,0.559256498422603,NA
"wnlm.Q","NDN","PMI",-0.0102425155968493,0.141379276427674,NA
"wnlm.Q","SNURF","PMI",0.00634868745056124,0.264448631607484,NA
"wnlm.Q","PEG10","PMI",-0.00603485551510527,0.0247402708601636,NA
"wnlm.Q","SNRPN","PMI",0.00584135058797818,0.248053374658386,NA
"wnlm.Q","KCNQ1OT1","PMI",0.00245757563573102,0.481012655968561,NA
"wnlm.Q","ZDBF2","PMI",-0.002063795211119,0.628358377694152,NA
"wnlm.Q","GRB10","PMI",-0.00235301847222857,0.411083336451258,NA
"wnlm.Q","SNORD116-20","PMI",0.00533485301721985,0.614570959000872,NA
"wnlm.Q","KCNK9","PMI",0.00130831344606985,0.756353991111576,NA
"wnlm.Q","INPP5F","PMI",0.000305139243756702,0.8811331640936,NA
"wnlm.Q","RP13-487P22.1","PMI",-0.00818303535941172,0.58650986079227,NA
"wnlm.Q","MEST","PMI",-0.00395531827172324,0.215534711100075,NA
"wnlm.Q","ZNF331","PMI",-0.00516908192729477,0.0791595407549924,NA
"wnlm.Q","hsa-mir-335","PMI",-0.011942678401215,0.165568776813118,NA
"wnlm.Q","DIRAS3","PMI",-0.00187853205622279,0.889966325576343,NA
"wnlm.Q","PWRN1","PMI",0.0102063522726986,0.0728755134321781,NA
"wnlm.Q","IGF2","PMI",-0.00196612921431441,0.599982892089329,NA
"wnlm.Q","NLRP2","PMI",-0.00119028168264435,0.831568409362266,NA
"wnlm.Q","UBE3A","PMI",0.0144562923877492,0.107471394853332,NA
"wnlm.Q","MAGEL2","DxSCZ",0.15380432440789,0.0822857111569504,0.11
"wnlm.Q","TMEM261P1","DxSCZ",0.185496137715164,0.0550878435634438,0.0708
"wnlm.Q","SNHG14","DxSCZ",-0.0326652759259196,0.743755071050608,0.8042
"wnlm.Q","AL132709.5","DxSCZ",-0.0213526642372394,0.772781791128829,0.7958
"wnlm.Q","RP11-909M7.3","DxSCZ",-0.310703836302283,0.000267428279211366,0.0018
"wnlm.Q","ZIM2","DxSCZ",0.150118344787312,0.291824676167505,0.2698
"wnlm.Q","NAP1L5","DxSCZ",0.114621633565455,0.311663425229599,0.3912
"wnlm.Q","MEG3","DxSCZ",-0.106641894378753,0.310914587190292,0.4524
"wnlm.Q","PEG3","DxSCZ",0.031311124265594,0.722786032938327,0.7594
"wnlm.Q","PWAR6","DxSCZ",-0.0529522947663192,0.616657446158456,0.6202
"wnlm.Q","FAM50B","DxSCZ",-0.143403992163994,0.187646156660833,0.1822
"wnlm.Q","NDN","DxSCZ",0.288899514016939,0.128075227208358,0.0602
"wnlm.Q","SNURF","DxSCZ",-0.116000202037326,0.346994238935843,0.3734
"wnlm.Q","PEG10","DxSCZ",0.145555240864572,0.0178440834684363,0.0214
"wnlm.Q","SNRPN","DxSCZ",-0.0997715391487601,0.364309713639892,0.437
"wnlm.Q","KCNQ1OT1","DxSCZ",0.147034744320512,0.11586135551898,0.249
"wnlm.Q","ZDBF2","DxSCZ",-0.0305974297662538,0.741042969868773,0.7642
"wnlm.Q","GRB10","DxSCZ",0.025490630545544,0.694573697804246,0.714
"wnlm.Q","SNORD116-20","DxSCZ",-0.0555884735863175,0.802095649167254,0.8436
"wnlm.Q","KCNK9","DxSCZ",0.0295574367940823,0.764650897420309,0.7684
"wnlm.Q","INPP5F","DxSCZ",-0.041479275491203,0.33781780347667,0.2842
"wnlm.Q","RP13-487P22.1","DxSCZ",0.352984277313776,0.311531147534594,0.4494
"wnlm.Q","MEST","DxSCZ",0.287108806285806,3.04917311102435e-05,4e-04
"wnlm.Q","ZNF331","DxSCZ",0.0710283317810733,0.286348139858172,0.3714
"wnlm.Q","hsa-mir-335","DxSCZ",-0.287003452570834,0.0761414945357511,0.3516
"wnlm.Q","DIRAS3","DxSCZ",0.37899473286018,0.285128884069802,0.2928
"wnlm.Q","PWRN1","DxSCZ",-0.11863310089611,0.386332219865925,0.424
"wnlm.Q","IGF2","DxSCZ",0.156813793475442,0.135057104596832,0.1216
"wnlm.Q","NLRP2","DxSCZ",-0.197420196870402,0.123225539941405,0.1398
"wnlm.Q","UBE3A","DxSCZ",-0.808331408601375,0.000367660487387179,0.007
"wnlm.Q","MAGEL2","DxAFF",0.101804747029729,0.466692323801891,0.4988
"wnlm.Q","TMEM261P1","DxAFF",0.0976724908388073,0.511138556851105,0.5304
"wnlm.Q","SNHG14","DxAFF",-0.187862569637309,0.331539482661787,0.4458
"wnlm.Q","AL132709.5","DxAFF",0.200861923044324,0.0770598292015664,0.1104
