"Coefficient","Gene","p.val.t.dist.wnlm.Q.*","p.val.perm.wnlm.Q.*","p.val.t.dist.logi.S.*","p.val.perm.logi.S.*","logi.S.fit.OK","Estimate.wnlm.Q","p.val.t.dist.wnlm.Q","p.val.perm.wnlm.Q","Estimate.logi.S","p.val.t.dist.logi.S","p.val.perm.logi.S"
"InstitutionPenn","INPP5F","",NA,NA,NA,FALSE,-0.113735511689327,0.072644391405206,NA,NA,NA,NA
"InstitutionPenn","RP13-487P22.1","",NA,NA,NA,FALSE,-0.498216819411395,0.136964822355243,NA,NA,NA,NA
"InstitutionPenn","MEST","*",NA,"***",NA,TRUE,-0.210719078736687,0.0211272240872027,NA,-0.245684185773677,6.34314727631821e-05,NA
"InstitutionPenn","ZNF331","**",NA,NA,NA,FALSE,0.23757652745683,0.00635943583867547,NA,NA,NA,NA
"InstitutionPenn","hsa-mir-335","**",NA,"",NA,TRUE,-0.653984253517082,0.00680241620704482,NA,-0.37843907216415,0.120606497715933,NA
"InstitutionPenn","DIRAS3","",NA,NA,NA,FALSE,0.0364626921140688,0.933187200128379,NA,NA,NA,NA
"InstitutionPenn","PWRN1","",NA,"",NA,TRUE,0.0336480588591938,0.835567829918797,NA,-0.0437078115559269,0.788218753048862,NA
"InstitutionPenn","IGF2","*",NA,"*",NA,TRUE,-0.249941867079821,0.0353824448592116,NA,-0.292217009276869,0.011725935998929,NA
"InstitutionPenn","NLRP2","",NA,NA,NA,FALSE,-0.314791437592352,0.143002465102367,NA,NA,NA,NA
"InstitutionPenn","UBE3A","",NA,"**",NA,TRUE,-0.194535300149933,0.443070974949061,NA,-0.45036750996691,0.00343309958943629,NA
"InstitutionPitt","MAGEL2","",NA,NA,NA,FALSE,0.128674631714836,0.304843460856467,NA,NA,NA,NA
"InstitutionPitt","TMEM261P1","",NA,NA,NA,FALSE,-0.0311687705886819,0.828758631364724,NA,NA,NA,NA
"InstitutionPitt","SNHG14","***",NA,NA,NA,FALSE,0.606373193437575,3.59297733303181e-05,NA,NA,NA,NA
"InstitutionPitt","AL132709.5","",NA,NA,NA,FALSE,-0.1787594038466,0.0709125190918095,NA,NA,NA,NA
"InstitutionPitt","RP11-909M7.3","",NA,NA,NA,FALSE,0.0900619039223115,0.434800615391498,NA,NA,NA,NA
"InstitutionPitt","ZIM2","",NA,NA,NA,FALSE,0.147715845581419,0.392986722443289,NA,NA,NA,NA
"InstitutionPitt","NAP1L5","***",NA,NA,NA,FALSE,0.748828209547509,5.85855444768915e-07,NA,NA,NA,NA
"InstitutionPitt","MEG3","***",NA,NA,NA,FALSE,0.772259171713954,1.34054565659809e-06,NA,NA,NA,NA
"InstitutionPitt","PEG3","**",NA,NA,NA,FALSE,0.316580851645014,0.00789078077001639,NA,NA,NA,NA
"InstitutionPitt","PWAR6","***",NA,NA,NA,FALSE,0.634986125772719,2.75508212026905e-05,NA,NA,NA,NA
"InstitutionPitt","FAM50B","",NA,NA,NA,FALSE,0.00214394313903343,0.988831125180399,NA,NA,NA,NA
"InstitutionPitt","NDN","",NA,NA,NA,FALSE,0.0472010812106373,0.844449618710431,NA,NA,NA,NA
"InstitutionPitt","SNURF","**",NA,NA,NA,FALSE,0.482541745524843,0.00280148069029055,NA,NA,NA,NA
"InstitutionPitt","PEG10","",NA,NA,NA,FALSE,-0.0266664445513177,0.75435974679841,NA,NA,NA,NA
"InstitutionPitt","SNRPN","***",NA,NA,NA,FALSE,0.494799534213881,0.00063772474227721,NA,NA,NA,NA
"InstitutionPitt","KCNQ1OT1","",NA,"",NA,TRUE,0.253286480697586,0.147483791603783,NA,0.373979846783366,0.0896698300178097,NA
"InstitutionPitt","ZDBF2","**",NA,NA,NA,FALSE,0.433171449663506,0.00101960720252182,NA,NA,NA,NA
"InstitutionPitt","GRB10","***",NA,"**",NA,TRUE,0.311151054113215,0.000691927823376792,NA,0.314790379636427,0.00448351526950744,NA
"InstitutionPitt","SNORD116-20","",NA,NA,NA,FALSE,0.0724848798317872,0.809547757408957,NA,NA,NA,NA
"InstitutionPitt","KCNK9","*",NA,"",NA,TRUE,0.280668910926643,0.0275174495520623,NA,0.435353129403686,0.0947754423748466,NA
